Club,Name,Nationality,_id
VfL Wolfsburg,J. Brooks,United States,5de4245291fcee53978f4721
Borussia Dortmund,C. Pulisic,United States,5de4245291fcee53978f4790
Borussia Mönchengladbach,F. Johnson,United States,5de4245291fcee53978f491b
Eintracht Frankfurt,T. Chandler,United States,5de4245291fcee53978f4970
Newcastle United,D. Yedlin,United States,5de4245291fcee53978f4b96
FC Schalke 04,W. McKennie,United States,5de4245291fcee53978f5139
Atlanta United,B. Guzan,United States,5de4245291fcee53978f513d
SV Werder Bremen,A. Jóhannsson,United States,5de4245291fcee53978f5268
SV Werder Bremen,A. Jóhannsson,United States,5de4245291fcee53978f5269
DC United,R. Canouse,United States,5de4245291fcee53978f5356
DC United,P. Arriola,United States,5de4245291fcee53978f5383
Fortuna Düsseldorf,A. Morales,United States,5de4245291fcee53978f53a0
Hannover 96,B. Wood,United States,5de4245291fcee53978f5457
FC Nantes,M. Miazga,United States,5de4245291fcee53978f4dd3
RSC Anderlecht,K. Saief,United States,5de4245291fcee53978f501c
Queens Park Rangers,G. Cameron,United States,5de4245291fcee53978f5027
DC United,B. Hamid,United States,5de4245291fcee53978f508c
Atlanta United,D. Nagbe,United States,5de4245291fcee53978f509a
Club Atlas,O. Gonzalez,United States,5de4245291fcee53978f50a5
Fulham,T. Ream,United States,5de4245291fcee53978f50d6
Huddersfield Town,D. Williams,United States,5de4245291fcee53978f55a9
FC St. Gallen,K. Manneh,United States,5de4245391fcee53978f5cd1
Swansea City,C. Carter-Vickers,United States,5de4245391fcee53978f5cef
Paris Saint-Germain,T. Weah,United States,5de4245391fcee53978f5d12
Club América,J. Corona,United States,5de4245391fcee53978f5d24
Hull City,E. Lichaj,United States,5de4245391fcee53978f5dc5
Club Brugge KV,E. Horvath,United States,5de4245391fcee53978f598a
Ulsan Hyundai FC,M. Diskerud,United States,5de4245391fcee53978f5a80
Holstein Kiel,K. Kronholm,United States,5de4245391fcee53978f5a84
DC United,S. Birnbaum,United States,5de4245391fcee53978f5ad5
Atlanta United,G. Garza,United States,5de4245391fcee53978f5af2
Atlanta United,M. Parkhurst,United States,5de4245391fcee53978f5b8f
SV Sandhausen,A. Wooten,United States,5de4245391fcee53978f5bbc
MSV Duisburg,J. Gyau,United States,5de4245391fcee53978f5c21
Wigan Athletic,A. Robinson,United States,5de4245391fcee53978f5f28
Atlanta United,J. Larentowicz,United States,5de4245391fcee53978f5f9d
Malmö FF,R. Gall,United States,5de4245391fcee53978f600a
Lobos BUAP,M. Orozco,United States,5de4245391fcee53978f6057
Sunderland,L. Gooch,United States,5de4245391fcee53978f60a1
Club Necaxa,V. Alvarado,United States,5de4245391fcee53978f6120
Club León,W. Yarbrough,United States,5de4245391fcee53978f618c
Fortuna Sittard,A. Novakovich,United States,5de4245391fcee53978f6286
CF Reus Deportiu,S. Moore,United States,5de4245391fcee53978f628f
Derby County,D. Holmes,United States,5de4245391fcee53978f629b
VfR Aalen,R. Fennell,United States,5de4245391fcee53978f62c2
Puebla FC,J. Torres,United States,5de4245391fcee53978f62fe
DC United,K. Opare,United States,5de4245391fcee53978f631c
SpVgg Greuther Fürth,J. Green,United States,5de4245391fcee53978f6328
Hibernian,E. Hyndman,United States,5de4245391fcee53978f63de
Nottingham Forest,G. Ariyibi,United States,5de4245391fcee53978f64d8
SV Darmstadt 98,T. Boyd,United States,5de4245391fcee53978f64ec
DC United,C. Durkin,United States,5de4245391fcee53978f6564
Club Tijuana,R. Rubin,United States,5de4245391fcee53978f6636
DC United,K. Ellis,United States,5de4245391fcee53978f6d32
DC United,N. DeLeon,United States,5de4245391fcee53978f6d55
DC United,N. DeLeon,United States,5de4245391fcee53978f6d56
Arsenal,G. Zelalem,United States,5de4245391fcee53978f6e96
Atlanta United,M. Hildebrandt,United States,5de4245391fcee53978f6f4d
SCR Altach,J. Gatt,United States,5de4245391fcee53978f6f91
AJ Auxerre,Q. Westberg,United States,5de4245391fcee53978f6fb2
NAC Breda,E. Palmer-Brown,United States,5de4245391fcee53978f6944
KV Kortrijk,B. Hines-Ike,United States,5de4245391fcee53978f6845
Club Tijuana,A. Guido,United States,5de4245391fcee53978f6a55
Atlanta United,A. Kann,United States,5de4245391fcee53978f6bdc
DC United,T. Kemp,United States,5de4245391fcee53978f7054
Fulham,L. de la Torre,United States,5de4245491fcee53978f70d2
Atlanta United,A. Carleton,United States,5de4245491fcee53978f715b
DC United,I. Harkes,United States,5de4245491fcee53978f7211
Hobro IK,E. Sabbi,United States,5de4245491fcee53978f728e
Excelsior,D. Payne,United States,5de4245491fcee53978f72de
FC Schalke 04,H. Wright,United States,5de4245491fcee53978f7346
SV Werder Bremen,J. Sargent,United States,5de4245491fcee53978f735e
SC Freiburg,C. Stanko,United States,5de4245491fcee53978f73c0
U.N.A.M.,B. Magaña,United States,5de4245491fcee53978f746b
Atlanta United,B. Vazquez,United States,5de4245491fcee53978f765e
DC United,T. Worra,United States,5de4245491fcee53978f7666
FSV Zwickau,B. Gaul,United States,5de4245491fcee53978f7687
Atlanta United,M. Ambrose,United States,5de4245491fcee53978f76b0
DC United,J. Jeffrey,United States,5de4245491fcee53978f7772
SV Darmstadt 98,O. Gaines,United States,5de4245491fcee53978f784f
Atlanta United,S. Zizzo,United States,5de4245491fcee53978f78fd
FC Nordsjælland,J. Amon,United States,5de4245491fcee53978f7964
Lillestrøm SK,S. Antonijevic,United States,5de4245491fcee53978f7a29
Trelleborgs FF,K. Sarkodie,United States,5de4245491fcee53978f7a40
Sporting Lokeren,J. Torres,United States,5de4245491fcee53978f7ab5
