link,author,year,desc,publisher,n,name
http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,2008-05-24T00:00:00.000Z,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",2,THE HOST
http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,2008-05-31T00:00:00.000Z,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",2,THE HOST
http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,2008-06-07T00:00:00.000Z,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",2,THE HOST
http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,2008-06-14T00:00:00.000Z,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",3,THE HOST
http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,2008-06-14T00:00:00.000Z,A young mute who can communicate with dogs his family raises takes refuge with three of them in the Wisconsin woods after his uncle murders his father.,Ecco,14,THE STORY OF EDGAR SAWTELLE
http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,2008-06-21T00:00:00.000Z,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",3,THE HOST
http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,2008-06-21T00:00:00.000Z,A mute takes refuge with three dogs in the Wisconsin woods after his uncle murders his father.,Ecco,9,THE STORY OF EDGAR SAWTELLE
http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,2008-06-28T00:00:00.000Z,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",5,THE HOST
http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,2008-06-28T00:00:00.000Z,A mute takes refuge with three dogs in the Wisconsin woods after his uncle murders his father.,Ecco,6,THE STORY OF EDGAR SAWTELLE
http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,2008-07-05T00:00:00.000Z,A mute takes refuge with three dogs in the Wisconsin woods after his uncle murders his father.,Ecco,5,THE STORY OF EDGAR SAWTELLE
http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,2008-07-05T00:00:00.000Z,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",6,THE HOST
http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,2008-07-12T00:00:00.000Z,A mute takes refuge with three dogs in the Wisconsin woods after his father’s murder.,Ecco,4,THE STORY OF EDGAR SAWTELLE
http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,2008-07-12T00:00:00.000Z,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",7,THE HOST
http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,2008-07-19T00:00:00.000Z,A mute takes refuge with three dogs in the Wisconsin woods after his father’s murder.,Ecco,2,THE STORY OF EDGAR SAWTELLE
http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,2008-07-19T00:00:00.000Z,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",4,THE HOST
http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,2008-07-26T00:00:00.000Z,A mute takes refuge with three dogs in the Wisconsin woods after his father’s murder.,Ecco,2,THE STORY OF EDGAR SAWTELLE
