title,MAX(weeks_on_list)
ALL THE LIGHT WE CANNOT SEE,134
THE HELP,108
A DANCE WITH DRAGONS,86
THE NIGHTINGALE,82
GONE GIRL,80
THE GIRL ON THE TRAIN,79
THE GIRL WHO KICKED THE HORNET’S NEST,79
THE GOLDFINCH,60
THE HOST,59
A GENTLEMAN IN MOSCOW,58
BEFORE WE WERE YOURS,42
LITTLE FIRES EVERYWHERE,41
THE STORY OF EDGAR SAWTELLE,39
THE UNDERGROUND RAILROAD,37
GO SET A WATCHMAN,35
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,33
THE PARIS WIFE,31
THE LOST SYMBOL,29
INFERNO,29
THE INVENTION OF WINGS,27
THE HUSBAND'S SECRET,26
ORIGIN,24
AND THE MOUNTAINS ECHOED,24
SMALL GREAT THINGS,23
DEAD AND GONE,23
THE WOMAN IN THE WINDOW,23
THE LAST SONG,22
THE WHISTLER,22
SYCAMORE ROW,22
THE GIRL WHO PLAYED WITH FIRE,21
DOCTOR SLEEP,21
11/22/63,21
TWO BY TWO,21
AFTER YOU,21
ROGUE LAWYER,20
GRAY MOUNTAIN,20
THE ROOSTER BAR,19
THE WOMAN IN CABIN 10,19
FREEDOM,19
THE GREAT ALONE,18
THE CONFESSION,18
THE RACKETEER,18
ROOM,18
COMMONWEALTH,18
SEE ME,18
INTO THE WATER,17
THE BEST OF ME,17
THE NEST,17
THE LITIGATORS,16
THE LONGEST RIDE,16
LUCKIEST GIRL ALIVE,16
EDGE OF ETERNITY,15
SAFE HAVEN,15
BIG LITTLE LIES,15
THE TIME KEEPER,15
THE CASUAL VACANCY,15
CAMINO ISLAND,15
CALICO JOE,15
THE LUCKY ONE,15
THE FIRST PHONE CALL FROM HEAVEN,15
SOMEWHERE SAFE WITH SOMEBODY GOOD,15
STATE OF WONDER,15
A COLUMN OF FIRE,15
WINTER OF THE WORLD,14
LOVE THE ONE YOU'RE WITH,14
THE ASSOCIATE,14
FALL OF GIANTS,14
BEFORE THE FALL,14
SLEEPING BEAUTIES,14
NORSE MYTHOLOGY,14
DEATH COMES TO PEMBERLEY,13
THE ESCAPE,13
THE CHEMIST,13
DEAD OR ALIVE,13
SQUIRREL SEEKS CHIPMUNK,13
CROSS FIRE,13
THE CHRISTMAS SWEATER,13
A SPOOL OF BLUE THREAD,13
THE ROUND HOUSE,12
THE HOUR I FIRST BELIEVED,12
THE INNOCENT,12
THE MIDNIGHT LINE,12
